Sales,Month,AgeInMonths,ProfileInMonths,Subscribed,NumPrevOrders,AvgSpend,POSR,OPR,Online,Discount,ShippingOption,Platform,Payment,Ad_1,Ad_2,Ad_3,SocialMedia,ShippingPayment,Category,DayOfWeek,Province
600.89,July,430,34,,33,477.98,3.6,0.7,42,0,Premium,Computer,Credit Card,No,No,No,,Free,groceries,Monday,MP
829.09,January,445,11,,6,574.54,6.5,0.51,70,0,Standard,Computer,Credit Card,No,Yes,Yes,,Free,household,Friday,FS
707.47,January,426,33,Monthly,29,684.04,3.2,0.74,25,13,Standard,Computer,Credit Card,No,No,Yes,,Free,household,Saturday,MP
984.53,December,408,14,Weekly,10,826.44,2.5,0.82,41,0,Express,Computer,Credit Card,No,Yes,Yes,,Free,electronics,Monday,NW
1081.59,December,406,32,,23,770.66,5.4,0.82,66,43,Standard,Computer,Credit Card,No,Yes,Yes,,Free,clothing,Friday,WC
575.55,December,454,18,,8,391.29,0.8,0.66,56,0,Express,Computer,Credit Card,No,No,Yes,,Free,books,Friday,GP
917.91,March,371,37,Monthly,35,631.74,5.1,0.9,37,0,Standard,Computer,Account Credit,No,Yes,Yes,,Free,groceries,Monday,WC
993.16,September,388,34,,29,1033.17,7.1,0.58,73,0,Premium,Computer,Credit Card,No,Yes,No,,Free,household,Thursday,LP
1267.31,March,339,31,Monthly,30,1181.17,4.5,0.94,40,0,Express,Computer,Credit Card,No,Yes,No,,Free,electronics,Monday,GP
730.01,November,470,22,Weekly,26,434.45,1.3,0.88,63,0,Express,Computer,Credit Card,No,No,Yes,,Free,household,Saturday,KZN
698.08,May,434,42,,48,486.27,6.1,0.83,78,0,Standard,iOS,Credit Card,Yes,No,Yes,Facebook,Free,clothing,Saturday,KZN
1025.5,June,378,1,,11,683.87,4.8,0.61,36,0,Express,Computer,Credit Card,Yes,Yes,No,Instagram,Free,groceries,Monday,WC
1078.37,December,484,26,,28,833.11,5,0.68,19,0,Premium,Computer,Credit Card,Yes,Yes,No,Instagram,Free,clothing,Wednesday,KZN
762.65,April,490,5,,12,648.83,1.4,0.78,57,0,Premium,Computer,Credit Card,No,No,Yes,,Free,electronics,Thursday,WC
787.66,January,422,8,Monthly,12,512.15,4.1,0.56,99,0,Premium,Computer,Credit Card,No,Yes,No,,Free,books,Wednesday,GP
1660.88,April,588,2,,7,852.22,5.2,0.64,20,0,Standard,Computer,Credit Card,Yes,No,Yes,Twitter,Free,electronics,Tuesday,WC
808.05,January,393,24,,21,571.64,7.1,0.64,50,0,Standard,Computer,EFT,Yes,No,Yes,Twitter,Free,electronics,Friday,MP
857.27,July,468,52,Daily,52,719.96,4.4,0.58,52,0,Express,Computer,Credit Card,Yes,No,Yes,Facebook,Free,books,Saturday,WC
725.14,February,502,37,Weekly,29,629.34,1.1,0.67,32,39,Standard,Computer,EFT,No,Yes,No,,Free,clothing,Friday,WC
610.83,September,416,18,,17,511.98,1.4,0.6,51,9,Standard,Computer,EFT,No,No,Yes,,Free,groceries,Friday,NC
549.91,October,406,37,,28,534.07,7.4,0.75,22,23,Standard,Computer,Credit Card,No,No,No,,Paid,books,Friday,NC
1216.15,May,353,34,,28,780.55,5,0.6,63,0,Standard,iOS,Account Credit,Yes,No,Yes,Facebook,Free,clothing,Monday,WC
1244.78,July,356,19,,11,838.52,0,0.6,63,0,Standard,Computer,Credit Card,Yes,No,Yes,Facebook,Free,books,Sunday,GP
797.63,April,390,25,,41,554.86,1.1,0.72,39,0,Express,iOS,Credit Card,No,Yes,Yes,,Free,household,Sunday,MP
909.78,November,408,43,,60,504.83,6,0.55,70,0,Express,Computer,EFT,No,Yes,Yes,,Free,groceries,Monday,FS
2410.85,December,604,32,,24,1407.84,4,0.55,35,0,Premium,Computer,Credit Card,Yes,Yes,No,Twitter,Free,electronics,Wednesday,WC
804.58,January,490,5,,6,538.87,2.9,0.56,51,0,Standard,Computer,Credit Card,No,Yes,Yes,,Free,electronics,Monday,NW
1212.25,August,369,23,Daily,21,760.08,5.8,0.66,70,0,Premium,Computer,Credit Card,Yes,Yes,Yes,Twitter,Free,books,Saturday,GP
646.53,June,444,18,,4,474.47,5.6,0.5,72,0,Express,iOS,Credit Card,Yes,Yes,No,Facebook,Free,household,Sunday,MP
742.72,August,415,32,,27,830.12,2.9,0.63,21,33,Standard,Android,Credit Card,No,No,Yes,,Free,groceries,Tuesday,KZN
1216.18,February,341,41,Daily,49,674.41,7.6,0.6,49,22,Standard,Android,PayPal,Yes,No,Yes,Facebook,Free,groceries,Sunday,NW
802.14,March,410,17,,13,594.5,1.8,0.6,25,0,Express,Computer,Credit Card,Yes,No,Yes,Facebook,Free,groceries,Monday,MP
765,October,405,11,,12,549.52,2,0.56,29,0,Standard,iOS,Credit Card,No,No,Yes,,Free,electronics,Tuesday,GP
846.76,November,495,17,,6,522.97,6.2,0.77,49,0,Standard,Computer,EFT,No,Yes,No,,Free,books,Saturday,WC
1075.34,November,455,42,Daily,53,701.19,5.2,0.91,56,12,Express,Android,Account Credit,Yes,Yes,Yes,Twitter,Free,groceries,Sunday,WC
948.69,November,421,21,,31,610.63,7.7,0.5,53,0,Standard,Computer,Credit Card,No,Yes,No,,Free,clothing,Saturday,GP
553.92,February,473,46,Daily,46,439.14,6.1,0.89,49,0,Standard,iOS,Credit Card,Yes,No,No,Facebook,Free,books,Saturday,KZN
739.16,December,524,21,Monthly,32,554.39,5.8,0.5,25,0,Standard,Computer,Credit Card,Yes,No,No,Instagram,Free,household,Friday,GP
499.99,December,441,35,Monthly,31,447.14,5.6,0.61,32,0,Premium,Computer,Credit Card,Yes,No,No,Instagram,Paid,books,Friday,WC
1229.75,March,484,28,,32,842.01,7.3,0.86,48,0,Standard,iOS,EFT,Yes,Yes,No,Instagram,Free,groceries,Monday,EC
1405.7,May,372,29,,34,750.02,6,0.73,41,0,Express,Computer,PayPal,No,Yes,Yes,,Free,clothing,Wednesday,WC
659.92,February,407,25,,27,689.89,7.4,1,26,0,Express,Android,Credit Card,No,No,Yes,,Free,clothing,Sunday,KZN
1102.19,September,549,18,,12,809.41,1.6,0.98,33,0,Express,Computer,Credit Card,Yes,No,Yes,Facebook,Free,groceries,Friday,KZN
942.71,September,419,32,,34,732.64,7.8,0.72,57,0,Premium,Computer,Credit Card,No,Yes,No,,Free,clothing,Sunday,GP
959.43,November,507,5,,12,760.24,3.2,0.6,43,0,Premium,Computer,EFT,No,No,Yes,,Free,electronics,Saturday,GP
1223.5,December,515,55,Daily,47,1129.45,6.5,0.59,52,0,Standard,Computer,Credit Card,Yes,Yes,No,Instagram,Free,groceries,Monday,MP
907.27,August,477,25,,20,844.42,5,0.9,34,0,Express,iOS,Credit Card,Yes,Yes,No,Twitter,Free,books,Friday,NW
835.27,April,448,30,,46,578.27,2.5,0.79,37,0,Express,Computer,EFT,Yes,No,Yes,Twitter,Free,electronics,Friday,WC
661.46,December,487,43,,43,548.99,5.7,0.8,41,35,Standard,Android,Credit Card,No,No,No,,Free,electronics,Thursday,EC
886.78,September,462,23,,30,667.46,4.7,0.95,36,16,Premium,Android,Credit Card,No,Yes,No,,Free,books,Friday,WC
2285.28,December,300,18,Monthly,7,1406.87,5.5,0.81,43,0,Premium,Android,Credit Card,Yes,Yes,No,Instagram,Free,electronics,Thursday,MP
1104.04,December,402,0,,0,765.74,6.8,0,44,16,Express,Computer,Credit Card,No,Yes,No,,Free,clothing,Tuesday,GP
938.5,November,504,62,,51,917.53,2.6,0.53,28,0,Express,Android,Credit Card,Yes,No,Yes,Facebook,Free,electronics,Saturday,GP
558.79,October,450,43,,52,513.01,3.2,0.57,35,0,Express,Computer,Credit Card,Yes,No,No,Facebook,Free,books,Friday,MP
862.39,June,417,66,Daily,40,480.77,6.5,0.71,31,0,Express,Computer,EFT,Yes,Yes,No,Instagram,Free,clothing,Wednesday,NW
957.8,March,537,37,,35,507.86,5.5,0.69,30,0,Express,Computer,Credit Card,Yes,Yes,No,Instagram,Free,electronics,Monday,GP
1310.06,June,458,11,,14,693.03,5.4,0.66,19,0,Premium,Computer,Account Credit,Yes,Yes,Yes,Instagram,Free,clothing,Friday,LP
1421.13,August,358,61,Daily,49,956.66,4.6,0.63,50,19,Standard,Computer,Credit Card,No,Yes,Yes,,Free,household,Sunday,LP
1240.06,November,493,55,Daily,61,701.96,6.3,0.77,33,0,Premium,Computer,EFT,Yes,Yes,Yes,Instagram,Free,electronics,Saturday,GP
854.49,February,433,26,,26,866.89,6.8,0.93,64,0,Premium,Computer,Credit Card,No,Yes,No,,Free,clothing,Tuesday,NW
789.56,March,466,10,,10,543.58,6.7,0.9,45,0,Express,Computer,Account Credit,Yes,No,Yes,Facebook,Free,electronics,Monday,FS
869.74,December,532,12,,12,638.45,1,0.54,60,0,Standard,Computer,Credit Card,No,No,Yes,,Free,clothing,Thursday,NW
891.77,December,524,28,Weekly,31,865.04,2.3,0.91,29,0,Premium,Computer,Credit Card,No,No,No,,Free,electronics,Saturday,EC
692.38,November,501,49,Daily,46,531.87,5.5,0.68,45,0,Express,Computer,Credit Card,No,No,Yes,,Free,electronics,Saturday,WC
684.79,April,356,37,,38,372.73,6.2,0.74,53,0,Standard,Computer,EFT,No,No,Yes,,Free,household,Saturday,WC
773.06,September,517,4,,9,441.32,0.6,0.63,72,0,Express,Computer,Credit Card,Yes,No,No,Twitter,Free,groceries,Monday,MP
971.15,August,491,48,Monthly,38,533.61,3.2,0.84,42,0,Express,Computer,Credit Card,Yes,No,Yes,Facebook,Free,household,Sunday,NC
880.4,May,398,40,,28,590.12,3,0.59,49,0,Standard,Computer,Credit Card,No,Yes,Yes,,Free,clothing,Thursday,GP
918.65,January,480,20,,7,849.2,3.6,0.69,49,0,Premium,Computer,Credit Card,Yes,No,Yes,Facebook,Free,electronics,Wednesday,WC
725.61,December,472,25,Monthly,41,737.14,3.5,0.63,67,0,Standard,Computer,PayPal,No,No,Yes,,Free,electronics,Wednesday,KZN
644.5,October,402,27,Monthly,29,588.58,4.5,0.88,50,38,Standard,Computer,Credit Card,No,Yes,No,,Free,clothing,Friday,MP
745.21,August,396,37,Weekly,27,441.1,1.3,0.52,78,0,Express,Computer,Credit Card,Yes,Yes,No,Instagram,Free,electronics,Thursday,GP
952.06,May,353,10,,4,734.93,2.4,0.74,64,0,Express,iOS,Credit Card,No,Yes,No,,Free,clothing,Wednesday,NC
683.76,April,457,43,Weekly,57,634.75,1,0.54,27,35,Express,Computer,Credit Card,No,No,Yes,,Free,electronics,Monday,KZN
1028.26,February,398,11,,18,618.16,2.7,0.89,38,0,Standard,Computer,EFT,Yes,No,Yes,Facebook,Free,groceries,Sunday,NW
943.99,December,351,24,,32,604.71,3.1,1,31,39,Standard,Computer,Credit Card,No,Yes,Yes,,Free,clothing,Wednesday,LP
930.52,May,418,32,,28,782.39,3.9,0.62,61,0,Premium,Computer,Credit Card,Yes,Yes,Yes,Facebook,Free,clothing,Thursday,NW
920.51,July,358,21,,24,868.68,1.9,0.57,47,10,Standard,Computer,Credit Card,No,No,Yes,,Free,books,Friday,WC
622.52,December,366,23,,25,568.88,2,0.63,65,26,Premium,Computer,EFT,No,No,No,,Free,groceries,Sunday,NC
1339.49,November,532,25,,31,986.82,2.9,0.84,66,0,Premium,Computer,Credit Card,Yes,No,Yes,Instagram,Free,electronics,Saturday,KZN
851.72,April,398,15,Monthly,10,728.65,3.5,0.97,35,0,Standard,Computer,Credit Card,Yes,No,Yes,Instagram,Free,household,Saturday,WC
881.96,December,412,53,Daily,50,677.98,4.7,0.81,35,0,Standard,Computer,Credit Card,No,Yes,Yes,,Free,electronics,Tuesday,MP
669,October,399,38,,35,575.97,7.1,0.88,86,0,Standard,Computer,PayPal,No,No,Yes,,Free,electronics,Sunday,GP
1159.05,January,428,12,,8,1037.78,6.3,0.63,38,0,Express,Android,PayPal,Yes,No,Yes,Facebook,Free,books,Friday,FS
976.34,December,424,51,,56,744.94,2.6,0.69,60,0,Express,Computer,Credit Card,No,Yes,Yes,,Free,electronics,Friday,NW
468.25,January,420,49,,40,422.03,3,0.57,45,0,Express,Computer,Credit Card,No,No,No,,Paid,books,Sunday,MP
675.65,April,445,46,Monthly,53,424.13,5.8,0.84,26,44,Standard,Android,Credit Card,Yes,No,Yes,Facebook,Free,electronics,Sunday,MP
577.01,January,421,37,,21,644.78,1,0.55,67,0,Premium,Computer,EFT,No,No,No,,Free,books,Saturday,MP
615.74,July,446,13,,7,483.42,3.2,0.64,20,0,Express,Computer,Credit Card,No,No,Yes,,Free,household,Friday,FS
1488.78,December,325,16,,15,947.99,3.2,0.85,62,0,Express,Computer,Credit Card,Yes,No,Yes,Facebook,Free,clothing,Friday,WC
1717.18,November,328,38,Weekly,30,1185.23,2.7,0.86,42,0,Standard,Computer,Credit Card,Yes,No,Yes,Twitter,Free,electronics,Tuesday,MP
1153.36,October,328,21,,27,663.8,4.2,0.67,55,0,Premium,iOS,Credit Card,No,Yes,Yes,,Free,electronics,Friday,NC
647.07,December,467,26,Daily,30,608.57,4,0.5,40,0,Premium,Computer,EFT,Yes,No,No,Instagram,Free,electronics,Thursday,MP
668.61,May,426,27,,32,604.88,3.7,0.58,78,0,Premium,Computer,Credit Card,Yes,No,No,Twitter,Free,household,Saturday,GP
819.75,April,477,62,,39,518.04,0.7,0.78,31,42,Standard,Computer,Credit Card,Yes,No,Yes,Instagram,Free,household,Friday,NC
701.79,March,453,68,,57,761,1.1,0.55,41,0,Express,Computer,EFT,Yes,No,Yes,Twitter,Free,electronics,Friday,NW
1089.88,October,424,34,,26,821.39,6.9,0.52,55,0,Premium,Computer,PayPal,No,Yes,Yes,,Free,clothing,Thursday,MP
924.78,April,511,5,Daily,21,520.26,7.2,0.88,40,0,Express,Computer,EFT,No,Yes,No,,Free,groceries,Sunday,LP
864.07,October,419,65,,43,704.02,3.8,0.52,62,0,Express,Android,PayPal,No,No,Yes,,Free,electronics,Sunday,FS
1061.06,October,515,3,,14,682.78,4.5,0.97,48,0,Standard,Computer,Credit Card,Yes,Yes,No,Twitter,Free,clothing,Monday,GP
1044.4,January,477,32,Weekly,24,604.1,2.2,0.66,61,0,Standard,Computer,Credit Card,Yes,No,Yes,Twitter,Free,household,Friday,MP
812.9,June,451,53,Daily,43,549.48,4.9,0.93,40,0,Standard,Computer,Credit Card,No,Yes,No,,Free,clothing,Wednesday,GP
843.31,January,489,18,Monthly,9,503.25,4.8,0.72,79,0,Express,Computer,Credit Card,Yes,Yes,No,Facebook,Free,books,Friday,WC
667,May,449,1,,12,696.91,5.9,0.53,35,0,Standard,iOS,Credit Card,Yes,Yes,No,Twitter,Free,clothing,Monday,WC
999.99,August,539,4,,6,995.93,1.4,0.93,47,0,Premium,Computer,Credit Card,No,No,Yes,,Free,groceries,Monday,NW
640.24,March,500,35,,25,404.33,3.3,0.85,59,0,Premium,Computer,Credit Card,No,No,Yes,,Free,electronics,Saturday,NC
1138.81,April,550,2,Daily,7,842.41,4.7,0.92,40,0,Premium,Computer,Credit Card,Yes,Yes,No,Twitter,Free,electronics,Friday,WC
715.75,December,460,17,,13,614.43,2.9,0.83,21,0,Standard,Computer,Credit Card,No,No,Yes,,Free,clothing,Monday,FS
930.14,February,478,30,Monthly,20,662.81,4.9,0.82,21,0,Premium,Computer,EFT,Yes,Yes,No,Instagram,Free,clothing,Saturday,MP
718.78,February,421,45,,50,598.42,5.2,0.53,39,30,Express,Android,EFT,Yes,Yes,No,Twitter,Free,clothing,Wednesday,NW
685.8,August,404,51,Monthly,47,470.27,3.1,0.69,47,0,Standard,Computer,Credit Card,Yes,Yes,No,Instagram,Free,household,Friday,WC
672.39,September,385,13,,15,509.2,7.5,0.62,42,0,Premium,Android,Account Credit,Yes,No,No,Instagram,Free,clothing,Saturday,WC
709.39,November,423,5,,11,921.53,3.4,0.88,45,0,Express,Computer,Credit Card,No,Yes,Yes,,Free,groceries,Monday,EC
795.74,February,515,16,,13,657.04,0.8,0.96,38,0,Standard,Computer,Credit Card,Yes,No,Yes,Facebook,Free,groceries,Sunday,GP
573.84,October,498,29,Weekly,20,473.71,2.2,0.96,67,0,Express,Computer,Credit Card,Yes,No,No,Instagram,Free,books,Saturday,WC
933.59,February,328,32,,31,702.96,5,0.87,84,16,Express,Computer,EFT,Yes,No,No,Facebook,Free,clothing,Sunday,GP
649.58,August,394,2,,17,530.62,7.5,0.55,28,0,Express,Computer,Credit Card,Yes,No,No,Facebook,Free,household,Friday,NW
709.86,December,420,54,Daily,46,743.85,4.7,0.78,67,0,Express,Computer,Credit Card,Yes,Yes,No,Facebook,Free,groceries,Sunday,WC
892.12,August,517,48,Daily,60,910.19,8,0.6,44,0,Express,Computer,Credit Card,Yes,Yes,No,Facebook,Free,electronics,Friday,GP
920.33,January,556,46,Daily,45,1093.64,7,0.91,47,0,Standard,iOS,Credit Card,Yes,No,No,Twitter,Free,electronics,Thursday,GP
1081.1,February,371,40,,37,709.51,7.4,0.67,47,0,Express,Android,Account Credit,Yes,Yes,No,Instagram,Free,household,Friday,WC
547.8,January,420,27,,33,526.9,3.4,0.82,47,0,Premium,Computer,EFT,Yes,No,No,Twitter,Paid,books,Sunday,WC
741.58,July,465,38,,24,460.19,3.7,1,48,0,Premium,iOS,EFT,Yes,Yes,No,Twitter,Free,groceries,Sunday,GP
1246.37,February,528,15,Weekly,6,959.11,2.8,0.55,49,44,Standard,Computer,PayPal,Yes,Yes,Yes,Instagram,Free,household,Saturday,NC
1068.37,October,530,17,Daily,18,766.29,6.2,0.64,58,0,Standard,iOS,EFT,Yes,Yes,No,Facebook,Free,electronics,Friday,FS
510.04,September,402,28,,27,904.13,2.3,0.66,82,6,Standard,Computer,Credit Card,Yes,No,No,Facebook,Paid,books,Saturday,NW
1254.36,May,517,55,Daily,51,757.07,6.5,0.57,36,0,Express,Computer,Credit Card,No,Yes,No,,Free,clothing,Monday,NW
980.79,February,418,21,,24,1232.11,8,0.87,50,0,Express,iOS,Credit Card,No,Yes,Yes,,Free,household,Friday,MP
634.5,February,503,26,,28,411.03,4.1,0.74,51,0,Premium,Computer,EFT,No,No,Yes,,Free,groceries,Monday,KZN
1001.9,May,507,46,Daily,49,590.76,5.5,0.55,45,15,Express,Computer,EFT,Yes,Yes,No,Twitter,Free,clothing,Monday,WC
720.14,February,438,37,,28,452.77,3.5,0.68,62,0,Standard,iOS,Credit Card,No,Yes,No,,Free,household,Friday,GP
784.27,November,484,16,,16,669.34,4.5,0.83,40,33,Premium,Android,Credit Card,Yes,No,Yes,Twitter,Free,clothing,Thursday,NW
680.14,May,427,38,,37,635.62,7.9,0.56,43,0,Express,Computer,Credit Card,Yes,Yes,No,Instagram,Free,clothing,Thursday,GP
696.08,February,442,33,,30,410.72,5.3,0.84,32,0,Standard,Computer,EFT,No,Yes,No,,Free,books,Saturday,MP
1171.33,October,351,47,,45,756.56,2.1,0.83,41,0,Express,Computer,EFT,Yes,No,Yes,Instagram,Free,electronics,Saturday,GP
834.72,October,450,7,,7,534.63,6.7,0.58,77,0,Express,Computer,Credit Card,No,Yes,No,,Free,electronics,Wednesday,GP
1092.03,June,509,0,,0,663.82,6.7,0,68,37,Standard,Computer,EFT,No,Yes,No,,Free,clothing,Tuesday,NC
1078.65,December,529,0,,0,991.75,4.9,0,32,0,Standard,Android,Credit Card,No,No,No,,Free,clothing,Thursday,NC
2019.8,November,349,31,,32,1619.09,5.1,0.61,42,0,Standard,Computer,Credit Card,Yes,Yes,Yes,Facebook,Free,electronics,Thursday,GP
914.62,November,407,50,,53,562.2,4.9,0.61,41,0,Express,Computer,Credit Card,No,Yes,Yes,,Free,books,Saturday,GP
579.06,January,431,7,,13,668.76,2.7,0.69,67,0,Standard,Computer,Credit Card,No,No,No,,Free,books,Saturday,GP
1603.46,December,302,28,Monthly,29,1279.71,4.5,0.82,33,0,Standard,Computer,EFT,No,No,Yes,,Free,electronics,Saturday,NW
742.36,May,410,14,,13,636.65,6.1,0.52,31,0,Express,Computer,Credit Card,No,No,Yes,,Free,clothing,Sunday,NW
1224.47,November,492,13,Daily,14,643.08,5.8,0.63,55,0,Standard,iOS,PayPal,No,Yes,Yes,,Free,books,Saturday,MP
1618.8,August,526,0,,0,877.45,7.5,0,47,0,Express,Android,EFT,No,Yes,Yes,,Free,electronics,Friday,GP
656.81,May,433,21,Monthly,30,473.05,4.3,0.61,48,0,Express,Computer,Credit Card,No,No,Yes,,Free,clothing,Monday,WC
778.05,February,528,12,,12,570.66,7.3,0.79,55,0,Express,Android,Credit Card,Yes,No,Yes,Twitter,Free,household,Saturday,GP
717.79,August,385,36,,27,727.29,3.5,0.81,47,0,Express,Android,Credit Card,Yes,Yes,No,Facebook,Free,electronics,Wednesday,EC
2526.44,October,556,0,,0,1593.12,5.8,0,35,0,Premium,Computer,Credit Card,No,Yes,Yes,,Free,electronics,Wednesday,GP
704.46,November,431,32,,32,572.16,6.9,0.69,42,0,Standard,Computer,EFT,No,No,Yes,,Free,groceries,Sunday,MP
475.24,July,440,31,,31,441.6,0.7,0.79,92,0,Standard,Android,Credit Card,Yes,No,No,Facebook,Paid,books,Saturday,FS
948.17,April,446,50,Daily,43,643.72,4.9,0.7,34,0,Premium,Computer,Credit Card,Yes,Yes,No,Instagram,Free,household,Sunday,NW
874.42,October,500,24,,28,598.01,4.7,0.95,50,0,Premium,Computer,Account Credit,No,Yes,No,,Free,electronics,Tuesday,WC
743.18,October,463,26,,29,512.8,2.3,0.78,23,0,Premium,Computer,Account Credit,Yes,No,Yes,Instagram,Free,electronics,Friday,WC
845.25,July,434,35,,30,847.91,5.4,0.74,49,24,Standard,Android,PayPal,No,Yes,Yes,,Free,books,Saturday,NC
781.63,October,445,28,,25,542.73,6.2,0.51,79,0,Express,Computer,EFT,Yes,No,Yes,Instagram,Free,books,Friday,NW
723.28,January,408,0,,0,560.99,2.6,0,32,40,Premium,Computer,Credit Card,No,No,No,,Free,groceries,Sunday,WC
642.24,February,475,33,,32,374.3,1.1,0.94,48,0,Premium,iOS,Credit Card,Yes,No,No,Facebook,Free,clothing,Monday,GP
827.17,January,406,56,Daily,52,544.79,7.4,0.57,50,25,Standard,Computer,EFT,Yes,No,Yes,Instagram,Free,books,Saturday,KZN
597.1,September,442,69,Monthly,46,491.62,3.5,0.6,52,0,Premium,Computer,Credit Card,No,No,Yes,,Free,groceries,Sunday,GP
941.1,November,439,20,,10,576.62,3.4,0.56,51,0,Standard,Computer,Credit Card,Yes,No,Yes,Instagram,Free,electronics,Sunday,GP
841.38,October,444,18,,10,478.13,6.3,0.76,51,0,Premium,Android,Credit Card,Yes,Yes,No,Twitter,Free,groceries,Wednesday,NW
1197.1,May,549,28,,28,957.86,5,0.97,36,0,Standard,Computer,Credit Card,No,Yes,No,,Free,groceries,Sunday,NW
710.15,May,468,62,,46,718.44,6.5,0.73,50,0,Express,Computer,PayPal,Yes,No,Yes,Instagram,Free,clothing,Monday,NW
667.58,November,367,18,,13,381.44,2.9,0.78,54,0,Express,Computer,Credit Card,No,No,Yes,,Free,electronics,Thursday,WC
1031.39,May,524,65,,56,801.89,6.6,0.72,48,13,Standard,Computer,Credit Card,No,Yes,Yes,,Free,clothing,Friday,NC
812.67,October,441,14,,11,491.49,7.1,0.69,52,0,Standard,Android,Credit Card,Yes,No,Yes,Facebook,Free,electronics,Friday,GP
669.78,September,480,40,,25,535.98,3.4,1,32,0,Standard,Computer,Credit Card,No,Yes,No,,Free,electronics,Sunday,GP
469.69,August,468,36,,36,354.66,4.8,0.94,112,0,Express,Computer,EFT,Yes,No,No,Instagram,Paid,books,Friday,WC
1271.93,April,431,0,,0,1411.21,7.7,0,41,0,Express,iOS,EFT,No,Yes,Yes,,Free,electronics,Saturday,MP
1331.49,October,427,48,Daily,40,1047.25,4.9,0.59,31,0,Premium,Computer,Credit Card,Yes,Yes,Yes,Facebook,Free,electronics,Thursday,FS
891.41,August,428,32,,33,511.28,5.5,0.58,61,0,Premium,Computer,Credit Card,Yes,Yes,No,Instagram,Free,groceries,Monday,NC
786.84,December,476,25,,23,1104.56,7.6,0.96,64,0,Express,Computer,EFT,Yes,Yes,No,Twitter,Free,groceries,Monday,KZN
1036.76,June,477,0,,0,857.6,0.8,0,64,0,Express,Computer,Credit Card,No,No,Yes,,Free,groceries,Sunday,WC
